Name,Status,District,Population Census 1991,Population Census 2001,Population Census 2011
Agastinuagan,Census Town,Ganjam,,"5,504","6,411"
Anandpur,Municipality,Kendujhar,"30,278","35,048","39,585"
Anjira,Census Town,Jajapur,,"5,134","6,561"
Anugul (Angul),Municipality,Anugul,"24,772","38,018","43,795"
Arjyapalli,Census Town,Ganjam,,"7,768","8,001"
Asika,Notified Area Committee/Council,Ganjam,"19,363","20,739","21,428"
Athagad,Notified Area Committee/Council,Cuttack,"13,661","15,848","17,304"
Athmallik,Notified Area Committee/Council,Anugul,,"11,376","12,298"
Badagada,Census Town,Ganjam,,"6,755","6,982"
Badakodanda,Census Town,Ganjam,,"5,008","5,137"
Badamba (Nizigarh),Census Town,Cuttack,,"5,857","6,284"
Badmal,Census Town,Balangir,,"5,233","5,431"
Balagoda (Bolani),Census Town,Kendujhar,,"11,833","11,708"
Balangir,Municipality,Balangir,"69,920","85,261","98,238"
Baleshwar (Balasore),Municipality with Outgrowth,Baleshwar,"85,442","127,358","144,373"
Baliguda,Census Town,Kandhamal,,"14,957","16,611"
Balimela,Notified Area Committee/Council,Malkangiri,"10,096","11,502","11,796"
Balipatapur,Census Town,Khordha,,"5,703","6,898"
Balugaon,Notified Area Committee/Council,Khordha,"12,404","15,823","17,645"
Banaigarh,Census Town,Sundargarh,,,"7,080"
Banapur,Notified Area Committee/Council,Khordha,"13,702","16,474","17,278"
Bandhbahal,Census Town,Jharsuguda,,"7,609","9,735"
Bangomunda,Census Town,Balangir,,"5,101","5,759"
Banki,Notified Area Committee/Council,Cuttack,"14,350","15,989","17,521"
Barapali,Notified Area Committee/Council,Bargarh,"16,371","19,157","20,850"
Barbil,Municipality,Kendujhar,"42,032","52,627","66,540"
Bardol,Census Town,Bargarh,,,"5,441"
Bargarh,Municipality,Bargarh,"51,205","63,678","80,625"
Baripada,Municipality with Outgrowth,Mayurbhanj,"49,619","100,651","116,849"
Basudebpur,Notified Area Committee/Council,Bhadrak,"25,236","30,006","33,690"
Baudhgarh (Boudh),Notified Area Committee/Council,Baudh,,"18,025","20,424"
Belagachhia,Census Town,Cuttack,,"4,612","5,516"
Bellaguntha (Belaguntha),Notified Area Committee/Council,Ganjam,"8,838","9,962","11,297"
